Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product	Checked out by
1202683..1203705	-	340	15901130	-	SP_1270	-	COG1063ER	zinc-containing alcohol dehydrogenase	
1762944..1763981	-	345	15901683	-	SP_1855	-	COG1063ER	zinc-containing alcohol dehydrogenase	
1955168..1956226	-	352	15901875	-	SP_2055	-	COG1063ER	zinc-containing alcohol dehydrogenase	
634856..640501	+	1881	15900565	-	SP_0664	-	COG5271R	zinc metalloprotease ZmpB	
2086817..2088322	-	501	15901979	-	SP_2169	-	COG3443R	zinc ABC transporter zinc-binding lipoprotein	
2088332..2089138	-	268	15901980	-	SP_2170	-	COG1108P	zinc ABC transporter permease	
2089131..2089835	-	234	15901981	-	SP_2171	-	COG1121P	zinc ABC transporter ATP-binding protein	
265214..266686	+	490	15900221	-	SP_0287	-	COG2252R	xanthine/uracil permease	
1755277..1755858	+	193	15901675	-	SP_1847	-	COG0503F	xanthine phosphoribosyltransferase	
1755858..1757120	+	420	15901676	-	SP_1848	-	COG2233F	xanthine permease	
844468..846741	-	757	15900777	-	SP_0894	-	COG2936R	x-prolyl-dipeptidyl aminopeptidase	
1091975..1093525	+	516	15901022	-	SP_1157	-	COG0038P	voltage-gated chloride channel family protein	
1157302..1158111	-	269	15901087	-	SP_1225	-	COG1235R	vicX protein	
727762..728241	+	159	15900663	-	SP_0769	-	COG4767V	VanZF-related protein	
52537..53046	+	169	15899994	-	SP_0049	-	COG4767V	vanZ protein	
532605..535256	+	883	15900480	valS	SP_0568	-	COG0525J	valyl-tRNA synthetase	
919826..922180	+	784	15900852	-	SP_0975	-	COG0557K	VacB/Rnb family exoribonuclease	
1243777..1244358	-	193	15901174	-	SP_1320	-	-	v-type sodium ATP synthase subunit E	
1242705..1243712	-	335	15901173	-	SP_1319	-	COG1527C	v-type sodium ATP synthase subunit C	
1244392..1244868	-	158	15901175	-	SP_1321	-	COG0636C	V-type ATP synthase subunit K	
1244884..1246875	-	663	15901176	-	SP_1322	-	COG1269C	V-type ATP synthase subunit I	
1242395..1242715	-	106	15901172	-	SP_1318	-	COG1436C	V-type ATP synthase subunit F	
1238537..1239148	-	203	15901169	-	SP_1315	-	COG1394C	V-type ATP synthase subunit D	
1239171..1240556	-	461	15901170	-	SP_1316	-	COG1156C	V-type ATP synthase subunit B	
1240557..1242332	-	591	15901171	-	SP_1317	-	COG1155C	V-type ATP synthase subunit A	
1999828..2000727	+	299	15901907	-	SP_2092	-	COG1210M	UTP-glucose-1-phosphate uridylyltransferase	
894372..895115	+	247	15900823	pyrH	SP_0944	-	COG0528F	uridylate kinase	
1140652..1141290	-	212	15901071	-	SP_1208	-	COG0572F	uridine kinase	
1104838..1105491	-	217	15901034	-	SP_1169	-	COG0692L	uracil-DNA glycosylase	
706079..706708	+	209	15900640	upp	SP_0745	-	COG0035F	uracil phosphoribosyltransferase	
1220466..1221785	+	439	15901146	-	SP_1286	-	COG2233F	uracil permease	
1898755..1899207	+	150	15901819	-	SP_1996	-	COG0589T	universal stress protein	
660649..661707	+	352	15900590	murG	SP_0689	-	COG0707M	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	
233382..234140	+	252	15900195	-	SP_0261	-	COG0020I	undecaprenyl pyrophosphate synthase	
1569713..1571086	-	457	15901505	-	SP_1670	-	COG0770M	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase"	
1441425..1442870	+	481	15901375	murE	SP_1530	-	COG0769M	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase	
659295..660647	+	450	15900589	murD	SP_0688	-	COG0771M	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	
1428062..1429396	-	444	15901367	murC	SP_1521	-	COG0773M	UDP-N-acetylmuramate--L-alanine ligase	
331774..332871	+	365	15900286	-	SP_0357	-	COG0381M	UDP-N-acetylglucosamine-2-epimerase	
335260..336444	+	394	15900289	-	SP_0360	-	COG0381M	UDP-N-acetylglucosamine 2-epimerase	
1017219..1018478	+	419	15900950	-	SP_1081	-	COG0766M	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
1873254..1874537	-	427	15901789	-	SP_1966	-	COG0766M	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
1314059..1315009	-	316	15901244	murB	SP_1390	-	COG0812M	UDP-N-acetylenolpyruvoylglucosamine reductase	
1508427..1509446	-	339	15901447	-	SP_1607	-	COG1087M	UDP-glucose 4-epimerase	
1739000..1740010	-	336	15901657	-	SP_1828	-	COG1087M	UDP-glucose 4-epimerase	
429907..430752	+	281	15900373	uppP	SP_0457	-	COG1968V	UDP pyrophosphate phosphatase	
1345987..1346712	-	241	15901280	-	SP_1427	-	COG0826O	U32 family peptidase	
1347287..1348573	-	428	15901282	-	SP_1429	-	COG0826O	U32 family peptidase	
2009308..2010564	+	418	15901915	-	SP_2100	-	COG0162J	tyrosyl-tRNA synthetase	
1721522..1722181	+	219	15901637	-	SP_1808	-	COG1989NOU	type IV prepilin peptidase	
1839886..1840047	-	53	15901760	-	SP_1936	-	COG1396K	type II restriction-modification system regulatory protein	
1757628..1758392	-	254	15901678	-	SP_1850	-	-	type II restriction endonuclease DpnI	
1151348..1154602	-	1084	15901083	-	SP_1221	-	COG4096V	type II restriction endonuclease	
977797..978006	+	69	15900908	-	SP_1037	-	-	type II restriction endonuclease	
1154767..1156644	-	625	15901084	-	SP_1222	-	-	type II restriction endonuclease	
1258315..1259538	-	407	15901190	-	SP_1336	-	COG0270L	type II DNA modification methyltransferase Spn5252IP	
1349751..1350941	+	396	15901283	-	SP_1431	-	COG2189L	type II DNA modification methyltransferase	
1876348..1876887	-	179	15901792	-	SP_1969	-	COG0742L	type II DNA modification methyltransferase	
535337..535501	+	54	255964981	-	SP_0569	-	COG0270L	type II DNA modification methyltransferase	
491796..494129	-	777	15900424	-	SP_0510	-	COG4096V	"type I restriction-modification system, R subunit"	
840200..843475	+	1091	15900775	-	SP_0892	-	COG4096V	"type I restriction-modification system, R subunit"	
490320..491783	-	487	15900423	-	SP_0509	-	COG0286V	"type I restriction-modification system, M subunit"	
835075..836568	+	497	15900769	-	SP_0886	-	COG0286V	"type I restriction-modification system, M subunit"	
486054..487334	+	426	15900419	-	SP_0505	-	COG0732V	type I restriction-modification system subunit S	
488259..488798	+	179	15900421	-	SP_0507	-	COG0732V	type I restriction-modification system subunit S	
488752..490320	-	522	15900422	-	SP_0508	-	COG0732V	type I restriction-modification system subunit S	
836581..837702	+	373	15900770	-	SP_0887	-	COG0732V	type I restriction-modification system subunit S	
839436..840095	+	219	15900774	-	SP_0891	-	COG0732V	type I restriction-modification system subunit S	
2147602..2148627	-	341	15902033	-	SP_2229	-	COG0180J	tryptophanyl-tRNA synthetase	
1725201..1726424	-	407	15901641	-	SP_1812	-	COG0133E	tryptophan synthase subunit beta	
1724432..1725208	-	258	15901640	trpA	SP_1811	-	COG0159E	tryptophan synthase subunit alpha	
1632690..1633310	-	206	118090042	-	SP_1729	-	COG3293L	truncated IS1381 transposase	
121058..122179	+	373	15900060	mnmA	SP_0118	-	COG0482J	tRNA-specific 2-thiouridylase MnmA	
122785..124698	+	637	15900062	-	SP_0120	-	COG0445D	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA	
1141941..1142819	-	292	15901075	truB	SP_1212	-	COG0130J	tRNA pseudouridine synthase B	
1502436..1503185	-	249	15901439	truA	SP_1599	-	COG0101J	tRNA pseudouridine synthase A	
960558..961931	-	457	15900887	trmE	SP_1016	-	COG0486R	tRNA modification GTPase TrmE	
646310..647194	+	294	15900572	miaA	SP_0671	-	COG0324J	tRNA delta(2)-isopentenylpyrophosphate transferase	
1464500..1465684	-	394	15901397	-	SP_1554	-	COG0617J	tRNA CCA-pyrophosphorylase	
892924..894294	+	456	15900822	-	SP_0943	-	COG1206J	tRNA (uracil-5-)-methyltransferase Gid	
520080..520715	+	211	15900463	trmB	SP_0550	-	COG0220R	tRNA (guanine-N(7)-)-methyltransferase	
734233..734952	+	239	15900673	trmD	SP_0779	-	COG0336J	tRNA (guanine-N(1)-)-methyltransferase	
84191..84856	+	221	15900024	-	SP_0079	-	COG0569P	Trk family potassium uptake protein	
82798..84177	+	459	15900023	-	SP_0078	-	COG0168P	Trk family potassium uptake protein	
459148..460587	-	479	15900394	-	SP_0479	-	COG0168P	Trk family potassium uptake protein	
1480609..1481367	-	252	15901416	tpiA	SP_1574	-	COG0149G	triosephosphate isomerase	
