GI07-1086-MONOMER	GI07-1086	C1CRH6	RNA polymerase sigma factor RpoD	
CPLXI07-3			predicted ABC transporter of CO+2	
CPLXI07-4			predicted ABC transporter of phosphate	
CPLXI07-5			predicted ABC transporter of phosphate	
CPLXI07-6			predicted ABC transporter of spermidine/putrescine	
CPLXI07-7			predicted transporter of a sugar/CPD0-2342	
CPLXI07-8			predicted ABC transporter of D-ribose/beta-D-galactose	
CPLXI07-9			predicted ABC transporter of L-glutamine	
CPLXI07-10			predicted ABC transporter of L-glutamine	
CPLXI07-11			predicted ATP-driven transporter of MN+2	
CPLXI07-12			predicted ABC transporter of NA+	
CPLXI07-13			predicted ABC transporter of choline	
CPLXI07-14			predicted ATP-driven transporter of an oligopeptide	
CPLXI07-15			predicted ABC transporter of a sugar	
CPLXI07-16			predicted ABC transporter of a sugar	
CPLXI07-1			predicted ABC transporter of ZN+2	
CPLXI07-2			predicted ATP-driven transporter of CO+2	
GI07-1894-MONOMER	GI07-1894	C1CTM3	phosphopantetheine adenylyltransferase	CoaD
GI07-1765-MONOMER	GI07-1765	C1CTC1	O-antigen polymerase family	
GI07-544-MONOMER	GI07-544	C1CQ18	molecular chaperone DnaK	DnaK
GI07-1099-MONOMER	GI07-1099	C1CRI6	cytosolic protein containing multiple CBS domains	
GI07-629-MONOMER	GI07-629	C1CQ96	single-stranded-DNA-specific exonuclease RecJ	RecJ
GI07-2033-MONOMER	GI07-2033	C1CTY2	DNA mismatch repair protein MutS	MutS
GI07-1893-MONOMER	GI07-1893	C1CTM2	ATP-dependent protease La	
GI07-1764-MONOMER	GI07-1764	C1CTC0	AmiA protein	
GI07-30-MONOMER	GI07-30	C1CNM9	LIM domain protein	
GI07-995-MONOMER	GI07-995	C1CR93	geranyltranstransferase	Farnesyl-diphosphate synthase, (FPP synthase)
GI07-1098-MONOMER	GI07-1098	C1CRI5	acetyltransferase, gnat family protein	
GI07-543-MONOMER	GI07-543	C1CQ17	heat shock protein GrpE	GrpE
GI07-1892-MONOMER	GI07-1892	C1CTM1	orf	
GI07-281-MONOMER	GI07-281	C1CPB6	orf	
