#
#  spne373153cyc 17.0 Pathways link table generated on Wed Sep 25, 2013
#
PWY-7003	glycerol degradation to butanol	
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
P122-PWY	heterolactic fermentation	lactate heterofermentation	glucose fermentation to lactate	phosphoketolase pathway
FERMENTATION-PWY	mixed acid fermentation	fermentation
PWY-5939	(<i>R</i>)-acetoin biosynthesis II	D-acetoin biosynthesis II
PWY-5481	pyruvate fermentation to lactate	
PWY-5485	pyruvate fermentation to acetate IV	
PWY-5480	pyruvate fermentation to ethanol I	
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
P21-PWY	pentose phosphate pathway (partial)	pentose phosphate pathway, Mycoplasma pneumonia
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxo acid dehydrogenase complex	branched-chain &alpha;-keto acid dehydrogenase complex
ANARESP1-PWY	respiration (anaerobic)	anaerobic respiration
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-6502	oxidized GTP and dGTP detoxification	8-oxo-(d)GTP detoxification	oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification	8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	penicillin resistance	&beta;-lactam resistance
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	
PWY-5386	methylglyoxal degradation I	
P1-PWY	purine and pyrimidine metabolism	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
TRNA-CHARGING-PWY	tRNA charging	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
ARGSYN-PWY	arginine biosynthesis I	
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	
PWY-6897	thiamin salvage II	
PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
PWY-6125	guanosine nucleotides <i>de novo</i> biosynthesis	
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	
PWY-6126	adenosine nucleotides <i>de novo</i> biosynthesis	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6901	xylose degradation IV	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
